Time [s],CAN_RX_ECU,CAN_RX_LSM,CAN_TX_ECU,CAN_TX_LSM
1.054824490,0,0,1,1
1.054824500,0,1,1,1
1.054824620,1,1,1,1
1.054824968,1,0,1,1
1.054825494,1,1,1,1
1.054825962,1,0,1,1
1.054825996,1,0,0,1
1.054826106,0,0,0,1
1.054826990,0,0,1,1
1.054827120,1,0,1,1
1.054827496,1,0,0,1
1.054827510,1,1,0,1
1.054827606,0,1,0,1
1.054827990,0,1,1,1
1.054828120,1,1,1,1
1.054828496,1,1,0,1
1.054828606,0,1,0,1
1.054829022,0,0,0,1
1.054829490,0,0,1,1
1.054829620,1,0,1,1
1.054830996,1,0,0,1
1.054831016,1,1,0,1
1.054831106,0,1,0,1
1.054831490,0,1,1,1
1.054831508,0,0,1,1
1.054831620,1,0,1,1
1.054831996,1,0,0,1
1.054832106,0,0,0,1
1.054832490,0,0,1,1
1.054832532,0,1,1,1
1.054832620,1,1,1,1
1.054832996,1,1,0,1
1.054833106,0,1,0,1
1.054834094,0,0,0,1
1.054834490,0,0,1,1
1.054834622,1,0,1,1
1.054835996,1,0,0,1
1.054836088,1,1,0,1
1.054836106,0,1,0,1
1.054836582,0,0,0,1
1.054837606,0,1,0,1
1.054837990,0,1,1,1
1.054838122,1,1,1,1
1.054838496,1,1,0,1
1.054838606,0,1,0,1
1.054839118,0,0,0,1
1.054839490,0,0,1,1
1.054839620,0,1,1,1
1.054839622,1,1,1,1
1.054840088,1,0,1,1
1.054840998,1,0,0,1
1.054841106,0,0,0,1
1.054841112,0,1,0,1
1.054841604,0,0,0,1
1.054842630,0,1,0,1
1.054842990,0,1,1,1
1.054843122,1,1,1,1
1.054843498,1,1,0,1
1.054843608,0,1,0,1
1.054844190,0,0,0,1
1.054844490,0,0,1,1
1.054844622,1,0,1,1
1.054844692,1,1,1,1
1.054845160,1,0,1,1
1.054845688,1,1,1,1
1.054845998,1,1,0,1
1.054846108,0,1,0,1
1.054846154,0,0,0,1
1.054846490,0,0,1,1
1.054846622,1,0,1,1
1.054846998,1,0,0,1
1.054847108,0,0,0,1
1.054847702,0,1,0,1
1.054847990,0,1,1,1
1.054848122,1,1,1,1
1.054848498,1,1,0,1
1.054848608,0,1,0,1
1.054849214,0,0,0,1
1.054849492,0,0,1,1
1.054849622,1,0,1,1
1.054850710,1,1,1,1
1.054851178,1,0,1,1
1.054851498,1,0,0,1
1.054851608,0,0,0,1
1.054851992,0,0,1,1
1.054852122,1,0,1,1
1.054852498,1,0,0,1
1.054852608,0,0,0,1
1.054852726,0,1,0,1
1.054852992,0,1,1,1
1.054853122,1,1,1,1
1.054853498,1,1,0,1
1.054853608,0,1,0,1
1.054854286,0,0,0,1
1.054854790,0,1,0,1
1.054854992,0,1,1,1
1.054855122,1,1,1,1
1.054855256,1,0,1,1
1.054855784,1,1,1,1
1.054856252,1,0,1,1
1.054856498,1,0,0,1
1.054856608,0,0,0,1
1.054857798,0,1,0,1
1.054857992,0,1,1,1
1.054858122,1,1,1,1
1.054858498,1,1,0,1
1.054858608,0,1,0,1
1.054859310,0,0,0,1
1.054859812,0,1,0,1
1.054859992,0,1,1,1
1.054860122,1,1,1,1
1.054861274,1,0,1,1
1.054861498,1,0,0,1
1.054861608,0,0,0,1
1.054861992,0,0,1,1
1.054862122,1,0,1,1
1.054862498,1,0,0,1
1.054862608,0,0,0,1
1.054862822,0,1,0,1
1.054862992,0,1,1,1
1.054863124,1,1,1,1
1.054863498,1,1,0,1
1.054863608,0,1,0,1
1.054864384,0,0,0,1
1.054864992,0,0,1,1
1.054865124,1,0,1,1
1.054866378,1,1,1,1
1.054866500,1,1,0,1
1.054866608,0,1,0,1
1.054866870,0,0,0,1
1.054866992,0,0,1,1
1.054867124,1,0,1,1
1.054867896,1,1,1,1
1.054868500,1,1,0,1
1.054868608,0,1,0,1
1.054869408,0,0,0,1
1.054869910,0,1,0,1
1.054869992,0,1,1,1
1.054870124,1,1,1,1
1.054870378,1,0,1,1
1.054870904,1,1,1,1
1.054871372,1,0,1,1
1.054871500,1,0,0,1
1.054871610,0,0,0,1
1.054872918,0,1,0,1
1.054873492,0,1,1,1
1.054873624,1,1,1,1
1.054874000,1,1,0,1
1.054874110,0,1,0,1
1.054874480,0,0,0,1
1.054874994,0,0,1,1
1.054875124,1,0,1,1
1.054875978,1,1,1,1
1.054876446,1,0,1,1
1.054876500,1,0,0,1
1.054876610,0,0,0,1
1.054876994,0,0,1,1
1.054877124,1,0,1,1
1.054877500,1,0,0,1
1.054877610,0,0,0,1
1.054877992,0,1,0,1
1.054877994,0,1,1,1
1.054878124,1,1,1,1
1.054878500,1,1,0,1
1.054878610,0,1,0,1
1.054879504,0,0,0,1
1.054879994,0,0,1,1
1.054880124,1,0,1,1
1.054881498,1,1,1,1
1.054881500,1,1,0,1
1.054881610,0,1,0,1
1.054881990,0,0,0,1
1.054882994,0,0,1,1
1.054883014,0,1,1,1
1.054883124,1,1,1,1
1.054883500,1,1,0,1
1.054883610,0,1,0,1
1.054884576,0,0,0,1
1.054884994,0,0,1,1
1.054885078,0,1,1,1
1.054885124,1,1,1,1
1.054886044,1,0,1,1
1.054886500,1,0,0,1
1.054886610,0,0,0,1
1.054888088,0,1,0,1
1.054888494,0,1,1,1
1.054888624,1,1,1,1
1.054889000,1,1,0,1
1.054889110,0,1,0,1
1.054889600,0,0,0,1
1.054889994,0,0,1,1
1.054890126,1,0,1,1
1.054890600,1,1,1,1
1.054891500,1,1,0,1
1.054891564,1,0,0,1
1.054891610,0,0,0,1
1.054891994,0,0,1,1
1.054892126,1,0,1,1
1.054893002,1,0,0,1
1.054893110,0,1,0,1
1.054894674,0,0,0,1
1.054894994,0,0,1,1
1.054895126,1,0,1,1
1.054895176,1,1,1,1
1.054896502,1,1,0,1
1.054896610,0,1,0,1
1.054896638,0,0,0,1
1.054897494,0,0,1,1
